M0,g,gv,ch,cl,total_widthV0,BRWW,BRhZ,BRuu,BRdd,BRnunu,BRbb,BRtt,BRjets,BRll
4000.0,0.6534,3.0,-1.16667,-9.83764,784.31195,0.106007814,0.1050859,0.09866244,0.0987026,0.098742776,0.09870219,0.09810897,0.59154123,0.0657482
4000.0,0.6534,3.0,-1.08333,-9.83764,759.8961,0.09403272,0.09336749,0.10162708,0.101665504,0.101703934,0.10166508,0.10105701,0.6093072,0.06772578
4000.0,0.6534,3.0,-1.0,-9.83764,737.30347,0.08232971,0.08187065,0.10453006,0.10456655,0.10460306,0.10456612,0.103943735,0.626703,0.06966238
4000.0,0.6534,3.0,-0.91667,-9.83764,716.5067,0.07099187,0.07069371,0.107347436,0.10738181,0.107416205,0.107381366,0.10674535,0.6435852,0.07154205
4000.0,0.6534,3.0,-0.83333,-9.83764,697.48175,0.060118955,0.059941884,0.110053584,0.110085644,0.11011771,0.11008519,0.10943635,0.65979993,0.07334769
4000.0,0.6534,3.0,-0.75,-9.83764,680.21326,0.049819782,0.049729504,0.11262058,0.112650126,0.11267969,0.112649664,0.111988984,0.67518,0.07506069
4000.0,0.6534,3.0,-0.66667,-9.83764,664.6813,0.040202465,0.04017033,0.11502066,0.11504752,0.11507438,0.115047045,0.11437565,0.68955904,0.07666255
4000.0,0.6534,3.0,-0.58333,-9.83764,650.8685,0.031376496,0.031379435,0.11722576,0.117249735,0.11727371,0.11724924,0.11656842,0.70276856,0.07813452
4000.0,0.6534,3.0,-0.5,-9.83764,638.7647,0.023452949,0.023473283,0.11920738,0.1192283,0.119249225,0.11922781,0.11853897,0.7146381,0.07945764
4000.0,0.6534,3.0,-0.41667,-9.83764,628.35614,0.01653522,0.016560374,0.120939024,0.12095674,0.12097445,0.120956235,0.12026094,0.72500867,0.08061421
4000.0,0.6534,3.0,-0.33333,-9.83764,619.63214,0.010719703,0.010741746,0.122395985,0.12241035,0.12242471,0.12240984,0.12170977,0.7337322,0.081587754
4000.0,0.6534,3.0,-0.25,-9.83764,612.5867,0.0060942466,0.006109315,0.123555765,0.12356666,0.12357754,0.12356614,0.12286309,0.740674,0.082363255
4000.0,0.6534,3.0,-0.16667,-9.83764,607.2123,0.0027310173,0.0027385824,0.124399886,0.1244072,0.124414526,0.12440669,0.12370251,0.7457233,0.082928374
4000.0,0.6534,3.0,-0.08333,-9.83764,603.5042,0.0006866225,0.00068864715,0.12491385,0.12491753,0.12492122,0.124917015,0.12421364,0.74879336,0.08327345
4000.0,0.6534,3.0,0.0,-9.83764,601.4607,0.0,0.0,0.12508772,0.12508772,0.12508772,0.1250872,0.12438657,0.7498246,0.08339181
4000.0,0.6534,3.0,0.08333,-9.83764,601.08014,0.0006893914,0.0006914244,0.12491684,0.12491314,0.124909446,0.12491263,0.12421669,0.74878925,0.083280355
4000.0,0.6534,3.0,0.16667,-9.83764,602.3638,0.0027530005,0.002760627,0.12440171,0.124394335,0.12438695,0.12439382,0.12370449,0.74569035,0.082939394
4000.0,0.6534,3.0,0.25,-9.83764,605.3139,0.0061674854,0.00618273,0.12354835,0.12353734,0.12352632,0.123536825,0.12285596,0.7405641,0.08237291
4000.0,0.6534,3.0,0.33333,-9.83764,609.93494,0.01089022,0.01091258,0.12236773,0.122353144,0.12233856,0.12235264,0.121681996,0.73347634,0.08158821
4000.0,0.6534,3.0,0.41667,-9.83764,616.2341,0.016860778,0.0168863,0.12087538,0.12085733,0.120839275,0.12085683,0.12019805,0.7245202,0.08059562
4000.0,0.6534,3.0,0.5,-9.83764,624.21783,0.024000237,0.02402071,0.11909156,0.119070165,0.119048774,0.11906967,0.11842427,0.71381736,0.07940864
4000.0,0.6534,3.0,0.58333,-9.83764,633.897,0.032218166,0.03222043,0.11703951,0.117014915,0.11699032,0.11701443,0.11638375,0.701507,0.078042746
4000.0,0.6534,3.0,0.66667,-9.83764,645.2848,0.041414056,0.04137945,0.11474506,0.11471742,0.11468978,0.11471694,0.11410219,0.687744,0.07651514
4000.0,0.6534,3.0,0.75,-9.83764,658.39264,0.05147658,0.05138058,0.11223677,0.112206265,0.11217576,0.112205796,0.111608,0.6726998,0.07484486
4000.0,0.6534,3.0,0.83333,-9.83764,673.2377,0.06229339,0.062105324,0.109543525,0.10951033,0.10947716,0.109509885,0.10892988,0.6565474,0.07305115
4000.0,0.6534,3.0,0.91667,-9.83764,689.8403,0.0737512,0.07343413,0.10669443,0.106658764,0.106623106,0.106658325,0.10609679,0.63946146,0.07115341
4000.0,0.6534,3.0,1.0,-9.83764,708.2168,0.085733965,0.08524474,0.10371932,0.10368136,0.10364342,0.10368093,0.10313837,0.6216206,0.069171526
4000.0,0.6534,3.0,1.08333,-9.83764,728.3919,0.098133445,0.09742277,0.10064601,0.10060597,0.10056595,0.100605555,0.100082316,0.6031918,0.06712404
4000.0,0.6534,3.0,1.16667,-9.83764,750.39355,0.11084728,0.109859906,0.09750087,0.09745895,0.09741704,0.09745855,0.09695482,0.584333,0.06502854
4000.0,0.6534,3.0,1.25,-9.83764,774.24426,0.12377563,0.12245069,0.09430958,0.094265975,0.09422238,0.09426558,0.09378144,0.5651981,0.062902145
4000.0,0.6534,3.0,1.33333,-9.83764,799.9771,0.1368314,0.13510261,0.09109461,0.09104951,0.091004424,0.09104913,0.09058451,0.54592186,0.060759827
4000.0,0.6534,3.0,1.41667,-9.83764,827.62885,0.1499364,0.1477324,0.08787616,0.08782974,0.087783344,0.08782938,0.08738411,0.5266253,0.05861507
4000.0,0.6534,3.0,1.5,-9.83764,857.2294,0.16301686,0.16026166,0.08467327,0.08462571,0.084578186,0.08462536,0.08419919,0.50742245,0.056480568
4000.0,0.6534,3.0,1.58333,-9.83764,888.8216,0.17601287,0.172626,0.081501484,0.08145296,0.081404455,0.081452616,0.08104519,0.48840666,0.054366693
4000.0,0.6534,3.0,1.66667,-9.83764,922.453,0.18887341,0.1847702,0.0783741,0.07832476,0.07827545,0.07832444,0.077935345,0.46965748,0.052282315
4000.0,0.6534,3.0,1.75,-9.83764,958.1625,0.20155135,0.19664344,0.07530338,0.075253375,0.075203404,0.07525306,0.07488185,0.4512484,0.050235618
4000.0,0.6534,3.0,1.83333,-9.83764,996.005,0.2140121,0.20820744,0.072298445,0.07224791,0.0721974,0.07224761,0.07189376,0.43323404,0.048232682
4000.0,0.6534,3.0,1.91667,-9.83764,1036.041,0.22622837,0.21943133,0.069366574,0.06931563,0.06926472,0.069315344,0.068978325,0.41565806,0.046278372
4000.0,0.6534,3.0,2.0,-9.83764,1078.3208,0.23817508,0.23028693,0.066514425,0.066463195,0.066411994,0.06646292,0.06614217,0.39856032,0.044377137
4000.0,0.6534,3.0,2.08333,-9.83764,1122.9147,0.2498375,0.24075623,0.06374611,0.06369469,0.063643314,0.06369443,0.063389376,0.3819654,0.042531718
4000.0,0.6534,3.0,2.16667,-9.83764,1169.8989,0.2612061,0.2508263,0.061064444,0.06101294,0.060961474,0.061012685,0.060722742,0.36589018,0.040743995
4000.0,0.6534,3.0,2.25,-9.83764,1219.3394,0.27227175,0.2604852,0.058472052,0.058420546,0.058369085,0.058420304,0.05814488,0.35035035,0.039015736
4000.0,0.6534,3.0,2.33333,-9.83764,1271.3252,0.28303358,0.26972863,0.0559696,0.055918176,0.055866797,0.055917945,0.055656455,0.33534992,0.037347384
4000.0,0.6534,3.0,2.41667,-9.83764,1325.954,0.2934939,0.27855533,0.05355696,0.05350568,0.05345446,0.05350546,0.05325733,0.32088804,0.035738856
4000.0,0.6534,3.0,2.5,-9.83764,1383.3118,0.30365416,0.28696367,0.051234145,0.051183086,0.05113208,0.051182874,0.050947536,0.30696484,0.03419017
4000.0,0.6534,3.0,-2.5,-8.43226,1281.0867,0.32636052,0.30913982,0.045570813,0.045618124,0.045665484,0.045617934,0.04531485,0.27331063,0.030349035
4000.0,0.6534,3.0,-2.41667,-8.43226,1222.2345,0.31707975,0.3015652,0.047679,0.04772674,0.047774523,0.04772654,0.047411215,0.2859492,0.031754207
4000.0,0.6534,3.0,-2.33333,-8.43226,1166.0367,0.3074523,0.29353994,0.049886946,0.04993507,0.04998324,0.049934864,0.04960678,0.29918566,0.033225913
4000.0,0.6534,3.0,-2.25,-8.43226,1112.418,0.29746565,0.28505364,0.05219752,0.05224598,0.052294485,0.052245762,0.0519044,0.31303713,0.034766067
4000.0,0.6534,3.0,-2.16667,-8.43226,1061.2891,0.2871055,0.2760944,0.054613996,0.054662734,0.054711517,0.054662507,0.054307327,0.32752326,0.036376867
4000.0,0.6534,3.0,-2.08333,-8.43226,1012.5684,0.27635956,0.26665226,0.057139173,0.057188127,0.057237122,0.05718789,0.05681835,0.3426608,0.038060177
4000.0,0.6534,3.0,-2.0,-8.43226,966.19763,0.26522213,0.25672325,0.059774257,0.05982335,0.05987248,0.0598231,0.059438664,0.35845697,0.039816808
4000.0,0.6534,3.0,-1.91667,-8.43226,922.10565,0.25368726,0.24630359,0.062520474,0.06256962,0.0626188,0.06256936,0.062169485,0.374919,0.041647583
4000.0,0.6534,3.0,-1.83333,-8.43226,880.2274,0.24175316,0.23539364,0.06537801,0.0654271,0.06547624,0.065426834,0.065011,0.39204803,0.04355263
4000.0,0.6534,3.0,-1.75,-8.43226,840.5174,0.2294278,0.22400317,0.068344645,0.06839359,0.06844257,0.068393305,0.06796101,0.40983075,0.04553049
4000.0,0.6534,3.0,-1.66667,-8.43226,802.9187,0.21672131,0.21214461,0.07141756,0.07146623,0.07151493,0.07146593,0.071016714,0.42825022,0.04757929
4000.0,0.6534,3.0,-1.58333,-8.43226,767.3797,0.20365146,0.19983812,0.07459205,0.0746403,0.07468858,0.07463998,0.0741734,0.44727805,0.049695883
4000.0,0.6534,3.0,-1.5,-8.43226,733.8647,0.19024976,0.1871175,0.07785991,0.07790759,0.07795531,0.07790727,0.077422954,0.4668652,0.05187483
4000.0,0.6534,3.0,-1.41667,-8.43226,702.32855,0.17655352,0.17402299,0.08121147,0.08125842,0.08130541,0.08125809,0.08075573,0.4869536,0.054109693
4000.0,0.6534,3.0,-1.33333,-8.43226,672.73035,0.16261186,0.16060679,0.08463406,0.084680095,0.08472617,0.084679745,0.08415915,0.50746715,0.056392025
4000.0,0.6534,3.0,-1.25,-8.43226,645.04236,0.14849219,0.14693965,0.088110395,0.08815533,0.08820028,0.088154964,0.08761602,0.5283024,0.05871033
4000.0,0.6534,3.0,-1.16667,-8.43226,619.22925,0.13427147,0.13310248,0.09162076,0.09166436,0.09170798,0.09166398,0.09110672,0.5493409,0.06105145
4000.0,0.6534,3.0,-1.08333,-8.43226,595.259,0.12004214,0.119192034,0.09514148,0.09518352,0.09522559,0.09518313,0.09460772,0.5704408,0.063399635
4000.0,0.6534,3.0,-1.0,-8.43226,573.1106,0.105917856,0.105326705,0.09864353,0.09868378,0.098724045,0.09868337,0.098090164,0.5914281,0.065735534
4000.0,0.6534,3.0,-0.91667,-8.43226,552.75684,0.092023365,0.09163653,0.10209506,0.10213326,0.102171466,0.102132834,0.10152236,0.6121118,0.06803791
4000.0,0.6534,3.0,-0.83333,-8.43226,534.1736,0.078499004,0.0782676,0.105460234,0.105496116,0.10553202,0.105495684,0.1048687,0.6322771,0.07028291
4000.0,0.6534,3.0,-0.75,-8.43226,517.34546,0.065503985,0.065385185,0.108698465,0.10873178,0.108765095,0.10873133,0.10808881,0.6516806,0.07244345
4000.0,0.6534,3.0,-0.66667,-8.43226,502.25244,0.05320408,0.053161506,0.111767486,0.11179795,0.111828424,0.11179749,0.11114067,0.670069,0.07449135
4000.0,0.6534,3.0,-0.58333,-8.43226,488.87732,0.04177325,0.041777145,0.114622936,0.114650294,0.11467766,0.11464982,0.113980144,0.6871764,0.076397054
4000.0,0.6534,3.0,-0.5,-8.43226,477.20963,0.031392746,0.031419963,0.11721864,0.11724264,0.117266655,0.11724216,0.11656134,0.702726,0.07812976
4000.0,0.6534,3.0,-0.41667,-8.43226,467.23584,0.02223718,0.022271007,0.1195101,0.11953052,0.119550936,0.11953002,0.118839994,0.7164512,0.07965979
4000.0,0.6534,3.0,-0.33333,-8.43226,458.94522,0.0144729065,0.014502668,0.12145494,0.121471554,0.12148818,0.12147105,0.12077397,0.728098,0.08095888
